epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,102023,1.25391,1.326,1.45463,0.70045,0.52652,0.64032,0.42331,1.23806,1.22597,1.37988,0.007789,0.007789,0.007789
69,103523,1.25193,1.32051,1.45144,0.74063,0.55629,0.65323,0.44044,1.25288,1.21967,1.36305,0.007756,0.007756,0.007756
70,105022,1.25324,1.32402,1.45393,0.76097,0.55871,0.66021,0.42948,1.27779,1.27797,1.42677,0.007723,0.007723,0.007723
71,106521,1.25473,1.32213,1.44827,0.7707,0.54636,0.65762,0.43324,1.2691,1.21112,1.41309,0.00769,0.00769,0.00769
72,108021,1.2598,1.32394,1.4585,0.84722,0.49338,0.6591,0.43598,1.24266,1.17728,1.38878,0.007657,0.007657,0.007657
73,109525,1.24516,1.31291,1.4476,0.7285,0.55298,0.66156,0.42966,1.28289,1.19512,1.40159,0.007624,0.007624,0.007624
74,111024,1.24002,1.32176,1.44525,0.79551,0.48675,0.64084,0.41695,1.2752,1.22963,1.40451,0.007591,0.007591,0.007591
75,112525,1.25317,1.31578,1.45403,0.75907,0.5298,0.6457,0.4251,1.27227,1.2223,1.39152,0.007558,0.007558,0.007558
76,114025,1.24076,1.31049,1.44719,0.75377,0.55298,0.65134,0.42988,1.2443,1.20792,1.37218,0.007525,0.007525,0.007525
77,115525,1.24299,1.31982,1.44509,0.71291,0.54636,0.64796,0.43109,1.24561,1.22335,1.38778,0.007492,0.007492,0.007492
78,117025,1.23509,1.3109,1.44342,0.76311,0.52268,0.65772,0.43918,1.22931,1.18905,1.35907,0.007459,0.007459,0.007459
79,118526,1.23473,1.30913,1.44191,0.76466,0.53795,0.64881,0.43833,1.20793,1.19981,1.3656,0.007426,0.007426,0.007426
80,120026,1.24196,1.30282,1.44965,0.73517,0.5298,0.63737,0.42587,1.24255,1.20761,1.38392,0.007393,0.007393,0.007393
81,121526,1.24069,1.29952,1.43996,0.65036,0.57616,0.64229,0.43055,1.22939,1.19141,1.36728,0.00736,0.00736,0.00736
82,123026,1.22227,1.28662,1.43325,0.74938,0.52318,0.64481,0.43099,1.23183,1.20161,1.36176,0.007327,0.007327,0.007327
83,124528,1.23137,1.28969,1.43519,0.73819,0.52649,0.64738,0.42889,1.23809,1.16421,1.38113,0.007294,0.007294,0.007294
