epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,54454.4,1.16824,0.8615,1.2383,0.72967,0.72973,0.79768,0.49043,1.36201,0.96996,1.34701,0.0005315,0.0005315,0.0005315
91,55101.5,1.16893,0.85356,1.23535,0.79672,0.66585,0.79851,0.48172,1.38719,0.98646,1.35697,0.000515,0.000515,0.000515
92,55745.6,1.14732,0.84643,1.23152,0.72343,0.7391,0.78915,0.48125,1.36116,0.99635,1.34622,0.0004985,0.0004985,0.0004985
93,56397.7,1.17077,0.85466,1.24103,0.74558,0.71007,0.79293,0.48474,1.36529,1.00953,1.33304,0.000482,0.000482,0.000482
94,57047.2,1.14621,0.83138,1.22044,0.79571,0.64118,0.77383,0.47634,1.36426,1.01618,1.3406,0.0004655,0.0004655,0.0004655
95,57689.2,1.13837,0.84173,1.22619,0.73676,0.70762,0.7914,0.48803,1.36908,0.99071,1.33502,0.000449,0.000449,0.000449
96,58331.8,1.13349,0.84398,1.21785,0.75452,0.67568,0.78617,0.48031,1.38311,1.01321,1.34954,0.0004325,0.0004325,0.0004325
97,58974.9,1.13122,0.83005,1.22135,0.78596,0.6855,0.79187,0.48624,1.37133,0.99625,1.35847,0.000416,0.000416,0.000416
98,59620.8,1.12633,0.82377,1.21292,0.75484,0.68841,0.78383,0.47058,1.39722,1.01653,1.35403,0.0003995,0.0003995,0.0003995
99,60264.1,1.12446,0.83432,1.22014,0.74034,0.69042,0.79297,0.47842,1.39113,0.99371,1.36927,0.000383,0.000383,0.000383
100,60910.5,1.131,0.82368,1.21588,0.7675,0.6683,0.78423,0.46823,1.42358,1.0071,1.37475,0.0003665,0.0003665,0.0003665
101,61559.4,1.1165,0.82364,1.21258,0.74208,0.71398,0.78714,0.47625,1.38637,0.98284,1.36927,0.00035,0.00035,0.00035
102,62207.1,1.11497,0.81208,1.21093,0.70389,0.76413,0.79023,0.48181,1.36953,1.0022,1.34739,0.0003335,0.0003335,0.0003335
103,62855,1.11269,0.82151,1.21238,0.7391,0.72973,0.79478,0.48223,1.37836,1.00105,1.3628,0.000317,0.000317,0.000317
104,63505.6,1.11494,0.80676,1.2066,0.73473,0.73496,0.79236,0.47716,1.38318,1.00598,1.35367,0.0003005,0.0003005,0.0003005
105,64153.7,1.10939,0.80441,1.20749,0.71456,0.74939,0.78796,0.47706,1.37735,0.9974,1.35322,0.000284,0.000284,0.000284
106,64800.7,1.11404,0.80889,1.20143,0.6938,0.74693,0.77738,0.47938,1.38437,1.01361,1.35479,0.0002675,0.0002675,0.0002675
107,65447.5,1.10304,0.80381,1.20292,0.70851,0.74693,0.78465,0.47217,1.38644,1.00611,1.36537,0.000251,0.000251,0.000251
108,66095.6,1.08925,0.79295,1.19455,0.74087,0.67813,0.77827,0.47341,1.40001,1.02137,1.36919,0.0002345,0.0002345,0.0002345
109,66744.7,1.09888,0.7924,1.1998,0.75335,0.70025,0.78211,0.48093,1.38471,1.03058,1.36472,0.000218,0.000218,0.000218
110,67392,1.08958,0.78403,1.19768,0.70476,0.72236,0.78223,0.474,1.39035,1.02596,1.36728,0.0002015,0.0002015,0.0002015
111,68034.1,1.01888,0.66462,1.15804,0.71555,0.72236,0.78278,0.47592,1.39331,1.02423,1.37865,0.000185,0.000185,0.000185
112,68674.3,1.00136,0.64536,1.15501,0.69868,0.76167,0.78584,0.47275,1.40964,1.01454,1.36653,0.0001685,0.0001685,0.0001685
113,69317.4,0.96766,0.61653,1.12841,0.78497,0.69064,0.78638,0.47913,1.38399,1.01783,1.35943,0.000152,0.000152,0.000152
114,69957,0.99053,0.6286,1.14494,0.70307,0.73303,0.78036,0.47493,1.37544,1.02672,1.35317,0.0001355,0.0001355,0.0001355
115,70597.7,0.97404,0.61142,1.13639,0.72427,0.72285,0.78078,0.47754,1.3685,1.02755,1.34784,0.000119,0.000119,0.000119
116,71242.3,0.96201,0.60669,1.13148,0.6947,0.7543,0.781,0.47458,1.3701,1.02807,1.34464,0.0001025,0.0001025,0.0001025
117,71887.6,0.9594,0.60426,1.12881,0.71032,0.74104,0.78184,0.47425,1.37786,1.03432,1.3509,8.6e-05,8.6e-05,8.6e-05
118,72532.3,0.95388,0.60087,1.12807,0.7033,0.73464,0.7838,0.47505,1.37831,1.03252,1.3551,6.95e-05,6.95e-05,6.95e-05
119,73173.4,0.96612,0.60949,1.14129,0.72614,0.71012,0.7832,0.47507,1.37938,1.03125,1.35798,5.3e-05,5.3e-05,5.3e-05
120,73815,0.94938,0.60116,1.11986,0.69594,0.74231,0.78425,0.47395,1.37471,1.02654,1.35561,3.65e-05,3.65e-05,3.65e-05
